object_type,object_id,study_or_source,doi,source_url,access_status,redistributed_raw_data,notes
study_inventory,U01,Bastani et al. (2025),10.1073/pnas.2422633122,https://doi.org/10.1073/pnas.2422633122,published bibliographic record,no,resolved
study_inventory,U02,Kestin et al. (2025),10.1038/s41598-025-97652-6,https://doi.org/10.1038/s41598-025-97652-6,published bibliographic record,no,resolved
study_inventory,U03,Pardos & Bhandari (2024),10.1371/journal.pone.0304013,https://doi.org/10.1371/journal.pone.0304013,published bibliographic record,no,resolved
study_inventory,U04,Bassner et al. (2026),10.1016/j.caeai.2025.100537,https://doi.org/10.1016/j.caeai.2025.100537,published bibliographic record,no,resolved
study_inventory,U05,Çiçek et al. (2025),10.1093/postmj/qgae170,https://doi.org/10.1093/postmj/qgae170,published bibliographic record,no,resolved
study_inventory,U06,Wong & Qiu (2026),10.1007/s10648-026-10118-7,https://doi.org/10.1007/s10648-026-10118-7,published bibliographic record,no,resolved
study_inventory,U07,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,https://doi.org/10.1016/j.techsoc.2025.103087,published bibliographic record,no,resolved
study_inventory,U08,Darmawansah et al. (2025),10.1007/s10639-024-12986-4,https://doi.org/10.1007/s10639-024-12986-4,published bibliographic record,no,resolved
study_inventory,U09,Zhou R. et al. (2025),10.1111/jcal.70077,https://doi.org/10.1111/jcal.70077,published bibliographic record,no,"Published and relevant, but no randomized/quasi-experimental comparator; retained only as contextual evidence."
study_inventory,U10,Arkan et al. (2025),10.1016/j.nedt.2025.106765,https://doi.org/10.1016/j.nedt.2025.106765,published bibliographic record,no,resolved
study_inventory,U11,Gan et al. (2024),10.2196/57037,https://doi.org/10.2196/57037,published bibliographic record,no,resolved
study_inventory,U12,Fan et al. (2025),10.1111/bjet.13544,https://doi.org/10.1111/bjet.13544,published bibliographic record,no,"Primary report verified; randomized comparison of ChatGPT, human expert, writing analytics, and no-tool support."
study_inventory,U13,Fütterer et al. (2026),10.1007/s10648-026-10133-8,https://doi.org/10.1007/s10648-026-10133-8,published bibliographic record,no,Primary report verified; three randomized GenAI conditions with performance-based and knowledge posttests.
study_inventory,U14,Barcaui (2025),10.1016/j.ssaho.2025.102287,https://doi.org/10.1016/j.ssaho.2025.102287,published bibliographic record,no,Primary report verified; surprise knowledge-retention test 45 days after AI-assisted versus traditional study.
study_inventory,U15,Sezgunsay et al. (2026),10.1186/s12909-026-09483-2,https://doi.org/10.1186/s12909-026-09483-2,published bibliographic record,no,Primary report verified; immediate and six-week knowledge tests; follow-up explicitly instructed independent without external assistance.
study_inventory,U16,Stadler et al. (2024),10.1016/j.chb.2024.108386,https://doi.org/10.1016/j.chb.2024.108386,published bibliographic record,no,Primary report verified; ChatGPT 3.5 versus Google during scientific inquiry.
study_inventory,U17,Başaran & Duru (2024),10.1007/s11195-024-09873-8,https://doi.org/10.1007/s11195-024-09873-8,published bibliographic record,no,"Primary report verified; ChatGPT, Kahoot, and traditional groups with repeated follow-up knowledge measurement."
study_inventory,W01,"Wang, Z et al.(2023)",10.13966/j.cnki.kfjyyj.2023.06.007,https://doi.org/10.13966/j.cnki.kfjyyj.2023.06.007,published bibliographic record,no,resolved
study_inventory,W02,"Wang, L et al.(2023)",,,unresolved_from_synthesis_label,no,unresolved_from_synthesis_label
study_inventory,W03,Zheng et al.(2024),10.13811/j.cnki.eer.2024.03.010,https://doi.org/10.13811/j.cnki.eer.2024.03.010,published bibliographic record,no,resolved
study_inventory,W04,Li and Wang (2023a),10.13966/j.cnki.kfjyyj.2023.06.008,https://doi.org/10.13966/j.cnki.kfjyyj.2023.06.008,published bibliographic record,no,resolved_as_within_report_study_unit
study_inventory,W05,Li and Wang (2023b),10.13966/j.cnki.kfjyyj.2023.06.008,https://doi.org/10.13966/j.cnki.kfjyyj.2023.06.008,published bibliographic record,no,resolved_as_within_report_study_unit
study_inventory,W06,Li (2023),10.14742/ajet.8923,https://doi.org/10.14742/ajet.8923,published bibliographic record,no,resolved
study_inventory,W07,Mahapatra(2024),10.1186/s40561-024-00295-9,https://doi.org/10.1186/s40561-024-00295-9,published bibliographic record,no,resolved
study_inventory,W08,Alneyadi and Wardat(2023),10.30935/cedtech/13417,https://doi.org/10.30935/cedtech/13417,published bibliographic record,no,resolved
study_inventory,W09,Kim and Lee(2023),10.24231/rici.2023.27.4.344,https://doi.org/10.24231/rici.2023.27.4.344,published bibliographic record,no,resolved
study_inventory,W10,Urban et al.(2024),10.1016/j.compedu.2024.105031,https://doi.org/10.1016/j.compedu.2024.105031,published bibliographic record,no,resolved
study_inventory,W11,Guo et al.(2023),,,unresolved_from_synthesis_label,no,unresolved_from_synthesis_label
study_inventory,W12,Yilmaz and Yilmaz(2023),10.1016/j.caeai.2023.100147,https://doi.org/10.1016/j.caeai.2023.100147,published bibliographic record,no,resolved
study_inventory,W13,Kosar et al.(2024),10.3390/math12050629,https://doi.org/10.3390/math12050629,published bibliographic record,no,resolved
study_inventory,W14,Chang et al.(2024),10.30191/ETS.202401_27(1).TP02,https://doi.org/10.30191/ETS.202401_27(1).TP02,published bibliographic record,no,resolved
study_inventory,W15,Bachiri et al.(2023),10.3991/ijep.v13i8.40853,https://doi.org/10.3991/ijep.v13i8.40853,published bibliographic record,no,resolved
study_inventory,W16,Escalante et al. (2023),10.1186/s41239-023-00425-2,https://doi.org/10.1186/s41239-023-00425-2,published bibliographic record,no,resolved
study_inventory,W17,"Lee, H. Y. et al.(2024)",10.1186/s41239-024-00447-4,https://doi.org/10.1186/s41239-024-00447-4,published bibliographic record,no,resolved
study_inventory,W18,Kavadella et al. (2024),10.2196/51344,https://doi.org/10.2196/51344,published bibliographic record,no,resolved
study_inventory,W19,Chen et al.(2023),10.58459/icce.2023.1418,https://doi.org/10.58459/icce.2023.1418,published bibliographic record,no,resolved
study_inventory,W20,Pellas(2023),10.3390/educsci13111155,https://doi.org/10.3390/educsci13111155,published bibliographic record,no,resolved
study_inventory,W21,"Wu, J et al.(2024)",10.3969/j.issn.1006-9860.2024.04.014,https://doi.org/10.3969/j.issn.1006-9860.2024.04.014,published bibliographic record,no,resolved
study_inventory,W22,Luo et al.(2024),10.13811/j.cnki.eer.2024.05.008,https://doi.org/10.13811/j.cnki.eer.2024.05.008,published bibliographic record,no,resolved
study_inventory,W23,Boudouaia et al.(2024),10.1177/07356331241247465,https://doi.org/10.1177/07356331241247465,published bibliographic record,no,resolved
study_inventory,W24,Shoufan(2023),10.1145/3628162,https://doi.org/10.1145/3628162,published bibliographic record,no,resolved
study_inventory,W25,"Wu, T et al.(2023)",10.1177/07356331231191125,https://doi.org/10.1177/07356331231191125,published bibliographic record,no,resolved
study_inventory,W26,Zhou et al.(2024),10.1007/s10639-024-12705-z,https://doi.org/10.1007/s10639-024-12705-z,published bibliographic record,no,resolved
study_inventory,W27,"Sun, D et al.(2024)",10.1186/s41239-024-00446-5,https://doi.org/10.1186/s41239-024-00446-5,published bibliographic record,no,resolved
study_inventory,W28,Song and Song(2023),10.3389/fpsyg.2023.1260843,https://doi.org/10.3389/fpsyg.2023.1260843,published bibliographic record,no,resolved
study_inventory,W29,Zhu et al.(2023),,,preprint_excluded_from_published_map,no,preprint_excluded_from_published_map
study_inventory,W30,Karaman(2024),10.46328/ijte.607,https://doi.org/10.46328/ijte.607,published bibliographic record,no,resolved
study_inventory,W31,Hakiki et al.(2023) ,10.25082/amler.2023.02.013,https://doi.org/10.25082/amler.2023.02.013,published bibliographic record,no,resolved
study_inventory,W32,Alneyadi and Wardat (2024),10.18178/ijiet.2024.14.3.2061,https://doi.org/10.18178/ijiet.2024.14.3.2061,published bibliographic record,no,resolved
study_inventory,W33,Essel et al.(2023),10.1016/j.caeai.2023.100198,https://doi.org/10.1016/j.caeai.2023.100198,published bibliographic record,no,resolved
study_inventory,W34,Yildiz (2023),10.51535/tell.1314355,https://doi.org/10.51535/tell.1314355,published bibliographic record,no,resolved
study_inventory,W35,"Wang, M et al.(2024)",10.1109/TLT.2023.3324714,https://doi.org/10.1109/TLT.2023.3324714,published bibliographic record,no,resolved
meta_analysis_schema,MA01,Deng et al. 2025,10.1016/j.compedu.2024.105224,https://doi.org/10.1016/j.compedu.2024.105224,published coding schema inspected,no,published methods/coding/moderator description inspected; no dedicated field identified
meta_analysis_schema,MA02,Ma & Zhong 2025,10.1111/jcal.70117,https://doi.org/10.1111/jcal.70117,published coding schema inspected,no,published methods/coding/moderator description inspected; no dedicated field identified
meta_analysis_schema,MA03,Han et al. 2025,10.1016/j.edurev.2025.100714,https://doi.org/10.1016/j.edurev.2025.100714,published coding schema inspected,no,published methods/coding/moderator description inspected; no dedicated field identified
meta_analysis_schema,MA04,Fan et al. 2026,10.3389/fpsyg.2026.1758670,https://doi.org/10.3389/fpsyg.2026.1758670,published coding schema inspected,no,published methods/coding table + released 132-effect extraction table directly inspected
meta_analysis_schema,MA05,Wu et al. 2026,10.1057/s41599-026-07019-z,https://doi.org/10.1057/s41599-026-07019-z,published coding schema inspected,no,published methods/coding description + released study/effect inventory directly inspected
meta_analysis_schema,MA06,Doo & Park 2026,10.19173/irrodl.v27i1.8775,https://doi.org/10.19173/irrodl.v27i1.8775,published coding schema inspected,no,published methods/coding/moderator description inspected; no dedicated field identified
meta_analysis_schema,MA07,Dong 2026,10.1057/s41599-026-06903-y,https://doi.org/10.1057/s41599-026-06903-y,published coding schema inspected,no,published methods/coding/moderator description inspected; no dedicated field identified
deep_analysis_source,DEEP01,Bastani et al. (2025),10.1073/pnas.2422633122,https://doi.org/10.1073/pnas.2422633122,public participant-level,no,raw third-party participant data not redistributed
deep_analysis_source,DEEP02,Bassner et al. (2026),10.1016/j.caeai.2025.100537,https://doi.org/10.1016/j.caeai.2025.100537,public participant-level,no,raw third-party participant data not redistributed
deep_analysis_source,DEEP03,Wong & Qiu (2026),10.1007/s10648-026-10118-7,https://doi.org/10.1007/s10648-026-10118-7,public OSF participant-level,no,raw third-party participant data not redistributed
deep_analysis_source,DEEP04,Kestin et al. (2025),10.1038/s41598-025-97652-6,https://doi.org/10.1038/s41598-025-97652-6,public reduced participant-level,no,raw third-party participant data not redistributed
deep_analysis_source,DEEP05,Pardos & Bhandari (2024),10.1371/journal.pone.0304013,https://doi.org/10.1371/journal.pone.0304013,public participant-level,no,raw third-party participant data not redistributed
