outcome,D_A,D_I,lambda,w_star,interpretation
originality,0.782090,-0.736510,0.250000,0.790219266,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.300000,0.758399735,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.350000,0.729043549,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.400000,0.701875315,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.450000,0.676659213,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.500000,0.653192139,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.550000,0.631298221,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.600000,0.610824399,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.650000,0.591636847,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.700000,0.573618041,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.750000,0.556664353,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.800000,0.540684052,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.850000,0.525595648,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.900000,0.511326500,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,0.950000,0.497811646,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.000000,0.484992818,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.050000,0.472817595,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.100000,0.461238694,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.150000,0.450213351,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.200000,0.439702798,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.250000,0.429671802,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.300000,0.420088274,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.350000,0.410922927,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.400000,0.402148974,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.450000,0.393741867,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.500000,0.385679072,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.550000,0.377939860,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.600000,0.370505135,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.650000,0.363357274,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.700000,0.356479989,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.750000,0.349858202,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.800000,0.343477935,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.850000,0.337326210,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.900000,0.331390964,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,1.950000,0.325660967,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.000000,0.320125755,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.050000,0.314775560,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.100000,0.309601259,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.150000,0.304594317,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.200000,0.299746746,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.250000,0.295051053,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.300000,0.290500213,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.350000,0.286087624,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.400000,0.281807080,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.450000,0.277652741,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.500000,0.273619109,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.550000,0.269700996,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.600000,0.265893510,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.650000,0.262192032,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.700000,0.258592194,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.750000,0.255089868,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.800000,0.251681144,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.850000,0.248362319,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.900000,0.245129883,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,2.950000,0.241980506,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.000000,0.238911028,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.050000,0.235918445,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.100000,0.232999906,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.150000,0.230152694,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.200000,0.227374226,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.250000,0.224662044,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.300000,0.222013802,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.350000,0.219427266,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.400000,0.216900304,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.450000,0.214430881,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.500000,0.212017054,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.550000,0.209656967,aggregate tie boundary on declared relative scale
