outcome,day,assistance_regime,n_control,n_treatment,control_mean,treatment_mean,raw_difference,control_sd,raw_d_ctrl,ancova_treatment_effect,ancova_d_ctrl,bootstrap_ci_low,bootstrap_ci_high
novelty,2,AI-assisted,30,31,30.766666666666666,41.54838709677419,10.781720430107526,19.30996407670605,0.5583501029457485,9.794836955930332,0.5072426296093434,0.03329075238290986,1.318793092974617
novelty,3,AI-assisted,30,31,28.366666666666667,40.58064516129032,12.213978494623653,15.905937588671492,0.7678879931807779,10.795959536603577,0.6787377025980954,0.14099008165687366,1.5249909720280697
novelty,4,AI-assisted,30,31,17.166666666666668,35.32258064516129,18.15591397849462,8.949410819880185,2.028727292098732,17.12526307083924,1.9135631848296928,0.9238278773648352,3.3092044408254253
novelty,5,AI-assisted,30,31,18.166666666666668,41.435483870967744,23.268817204301076,10.528559954364304,2.210066457821297,21.344604844203293,2.027305247509705,1.1137273500189186,3.659865152051183
novelty,6,AI-assisted,30,31,14.8,39.83870967741935,25.03870967741935,9.074975064086573,2.759094047156986,23.686272435834656,2.6100647405160404,1.5370939673797244,4.6388828290223065
novelty,7,AI-removed,30,31,13.016666666666667,17.596774193548388,4.58010752688172,7.839426585880009,0.5842401196958953,3.7517232636236404,0.4785711330444832,0.00032568940398755873,1.141546892082565
novelty,30,AI-removed,30,30,23.566666666666666,30.116666666666667,6.550000000000001,17.811626062448813,0.36773734060187657,5.189088835809615,0.29133156162252144,-0.1229412250464735,1.0926879599470352
novelty,60,AI-removed,30,30,16.328333333333333,15.891666666666667,-0.43666666666666565,9.86883638577494,-0.04424702666021318,-0.6072311512354412,-0.061530167032732605,-0.487078173025026,0.5218715282937755
usefulness,2,AI-assisted,30,31,19.216666666666665,30.580645161290324,11.363978494623659,11.678659681402786,0.9730550255454203,9.942553583949795,0.8513437205283425,0.3262864965562719,1.6137060473867857
usefulness,3,AI-assisted,30,31,16.316666666666666,28.983870967741936,12.66720430107527,8.221589884559133,1.5407244193565761,11.643313622926035,1.4161875970964204,0.6210360551517548,2.5615657927831563
usefulness,4,AI-assisted,30,31,29.983333333333334,52.62903225806452,22.645698924731185,13.198408559585777,1.7157901138227762,21.13330033305013,1.6012006476115166,0.6687041502144146,2.981875107125564
usefulness,5,AI-assisted,30,31,26.1,49.435483870967744,23.335483870967742,14.700105559086161,1.587436483171649,20.787955100814777,1.414136450739002,0.7145863878422084,2.5272641805860285
usefulness,6,AI-assisted,30,31,28.666666666666668,51.87096774193548,23.204301075268813,14.684811138074588,1.580156588810666,20.654911365577203,1.406549336683222,0.7101768449872929,2.558653030981046
usefulness,7,AI-removed,30,31,27.266666666666666,26.725806451612904,-0.5408602150537618,14.825847265044816,-0.036480897542291446,-2.933820208863367,-0.19788550066750593,-0.5828632118904021,0.2545076791324696
usefulness,30,AI-removed,30,30,10.066666666666666,13.8,3.7333333333333343,7.0193492837880695,0.5318631659997121,3.0803960406461,0.438843533226164,-0.030681053923579237,1.131530827123424
usefulness,60,AI-removed,30,30,21.784666666666666,20.046,-1.738666666666667,10.58607795346235,-0.16424087129435955,-1.657897423090045,-0.15661111040163864,-0.5926272301431655,0.4028635379821587
flexibility,2,AI-assisted,30,31,6.3,8.161290322580646,1.861290322580646,3.6591877749596016,0.5086621504689508,1.2811811680460392,0.3501271994876469,-0.07559138670272177,1.0012250623704426
flexibility,3,AI-assisted,30,31,4.583333333333333,6.241935483870968,1.658602150537635,2.1458995916564376,0.7729169421470211,1.5616429689477083,0.727733475983498,0.10882781398244006,2.490140141513338
flexibility,4,AI-assisted,30,31,6.1,9.806451612903226,3.7064516129032263,2.904811703791273,1.275969663736096,3.4077335482842948,1.1731340602341362,0.31100214553490935,2.4704351514221576
flexibility,5,AI-assisted,30,31,5.933333333333334,9.096774193548388,3.1634408602150543,3.0505322693649353,1.0370127508513864,2.66623239073586,0.8740220247828818,0.27983481569415714,1.80534778925689
flexibility,6,AI-assisted,30,31,5.6,8.709677419354838,3.1096774193548384,2.9313995715828067,1.0608166315845406,2.6422191187635313,0.9013507214701773,0.33344815351881635,1.942257144810138
flexibility,7,AI-removed,30,31,5.8,5.709677419354839,-0.09032258064516085,2.9407951071213656,-0.03071365986240852,-0.5850727802720006,-0.19895054193173847,-0.548191758877015,0.22718639140969932
flexibility,30,AI-removed,30,30,4.266666666666667,5.433333333333334,1.166666666666667,3.039207398187133,0.38387201457938536,0.6898268555515203,0.22697590692987835,-0.1521647353216669,0.9031403981510797
flexibility,60,AI-removed,30,30,4.833333333333333,4.8,-0.033333333333333215,2.1509153357603816,-0.015497278195540583,-0.017510594502966863,-0.008140996631453463,-0.5021340711164014,0.5975609993135311
